number,meal_type,meal_slot,title,energy_kcal,energy_kj,fibre_g,carbohydrates_g,starch_g,cholesterol_mg,betasitosterol_mg,campesterol_mg,stigmasterol_mg,phytosterols_mg,sugars_total_g,fructose_g,galactose_g,glucose_g,lactose_g,maltose_g,sucrose_g,water_g,protein_g,protein_adjusted_g,alanine_g,arginine_g,aspartic_acid_g,betaine_g,cystine_g,glutamic_acid_g,glycine_g,histidine_g,hydroxyproline_g,isoleucine_g,leucine_g,lysine_g,methionine_g,phenylanine_g,proline_g,serine_g,theonine_g,tryptophan_g,tyrosine_g,valine_g,calcium_mg,phosphorus_mg,potassium_mg,magnesium_mg,sodium_mg,iron_mg,copper_mg,zinc_mg,manganese_mg,selenium_ug,fluoride_mg,ash_g,vitamin_A_iu,vitamin_A_RAE_g,vitamin_A1_retinol_g,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_B5_pantothenic_acid_mg,vitamin_B6_mg,vitamin B12_added_ug,vitamin_B12_ug,folate_DFE_ug,folate_food_ug,folate_total_ug,folic_acid_g,vitamin_C_total_ascorbic_acid_mg,vitiamin_D_IU,vitamin_D2D3_g,vitamin_D2_ergocalciferol_g,vitamin_E_alphatocopherol_mg,vitamin_E_added_mg,tocopherol_beta_mg,tocopherol_delta_mg,tocopherol_gamma_mg,tocotrienol_alpha_mg,tocotrienol_beta_mg,tocotrienol_delta_mg,tocotrienol_gamma_mg,vitamin_K_phylloquinone_ug,vitamin_K2_menaquinone4_g,choline_mg,carotene_alpha_g,carotene_beta_g,lutein_zeaxanthin_g,lycophene_g,fats_total_g,fats_lipid_g,fatty_acids_total_monounsaturated_g,fatty_acids_total_polyunsaturated_g,fatty_acids_total_polyunsaturated150_g,fatty_acids_total_polyunsaturated161c_g,fatty_acids_total_polyunsaturated161t_g,fatty_acids_total_polyunsaturated170_g,fatty_acids_total_polyunsaturated171_g,fatty_acids_total_polyunsaturated181c_g,fatty_acids_total_polyunsaturated182clas_g,fatty_acids_total_polyunsaturated182i_g,fatty_acids_total_polyunsaturated182n6cc_g,fatty_acids_total_polyunsaturated182tnot_g,fatty_acids_total_polyunsaturated182tt_g,fatty_acids_total_polyunsaturated183n6ccc_g,fatty_acids_total_polyunsaturated202n6cc_g,fatty_acids_total_polyunsaturated203_g,fatty_acids_total_polyunsaturated221c_g,fatty_acids_total_polyunsaturated221t_g,fatty_acids_total_polyunsaturated240_g,fatty_acids_total_polyunsaturated241c_g,fatty_acids_total_saturated_g,fatty_acids_total_saturated100_g,fatty_acids_total_saturated120n_g,fatty_acids_total_saturated140_g,fatty_acids_total_saturated141_g,fatty_acids_total_saturated160_g,fatty_acids_total_saturated161_g,fatty_acids_total_saturated180_g,fatty_acids_total_saturated181_g,fatty_acids_total_saturated182_g,fatty_acids_total_saturated183_g,fatty_acids_total_saturated184,fatty_acids_total_saturated200_g,fatty_acids_total_saturated201_g,fatty_acids_total_saturated204_g,fatty_acids_total_saturated205n3_g,fatty_acids_total_saturated220_g,fatty_acids_total_saturated221_g,fatty_acids_total_saturated225n3dpa_g,fatty_acids_total_saturated226n3dha_g,fatty_acids_total_saturated40_g,fatty_acids_total_saturated60_g,fatty_acids_total_saturated80_g,fatty_acids_total_trans_g,fatty_acids_total_transmonoenoic_g,fatty_acids_total_transpolyenoic_g,fatty_acids_total_transpolyenoic130_g,fatty_acids_total_transpolyenoic151_g,fatty_acids_total_transpolyenoic18111_g,fatty_acids_total_transpolyenoic183n3ccc_g,fatty_acids_total_transpolyenoic183i_g,fatty_acids_total_transpolyenoic203n3_g,fatty_acids_total_transpolyenoic203n6,fatty_acids_total_transpolyenoic204n6_g,fatty_acids_total_transpolyenoic215_g,fatty_acids_total_transpolyenoic224_g,alcohol_g,caffeine_mg,theobromine_mg,region,subregion,country,cooktime,preptime,ingredients,approximate_total_cost,individual_ingredient_costs,ingredients_with_quantities,cooking instructions,sports_build_muscle_score,fight_heart_disease_score,fight_diabetes_score,fight_cancer_score,lose_weight_score
2610,recipe,['main'],Spiced Red Lentil and Veggie Soup,805.6975,3372.0515,26.6826,146.7606,93.2608,0,90.24,11.52,7.68,124.061,9.2571,1.6096,0.0017,2.137,0,0,5.2884,908.8117,49.554,0,2.1828,3.9707,5.6772,0.6844,0.7462,8.1885,2.0537,1.4242,0,2.2084,3.6701,3.533,0.4442,2.4843,2.1063,2.3193,1.9992,0.462,1.3607,2.5212,290.707,672.5555,1938.561,171.6835,128.2635,17.896,2.7285,7.7139,4.0639,2.5747,5.2593,8.323,21557.1505,1077.5585,0,1.1486,0.3269,4.5088,1.1913,1.2042,0,0,430.2755,430.2755,430.2755,0,20.1579,0,0,0,1.0203,3372.0515,0.0128,0,0.0754,0.0506,0,0,0,19.4893,0,19.4853,4450.698,10708.869,356.437,1.51,5.6564,5.6564,1.6476,2.5317,0.0058,0,0,0.0077,0,0.0074,0,0,0,0,0,0,0,0.0017,0,0,0.023,0,0.9002,0.0033,0.0057,0.0098,0.0002,0.6818,0.0128,0.6818,1.6067,2.0311,0.4969,0,0.0269,0.03,0,0,0.0269,0,0,0,0,0.0001,0.0012,0,0,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,African ,Middle Eastern ,Egyptian,30 minutes,15 minutes,"['water', 'red lentil', 'rom tomato', 'carrot', 'onion', 'garlic', 'water', 'cumin', 'sea salt', 'black pepper', 'coriander']",2.19216878,"['water', 0.0, 'red lentil', 0.781625, 'rom tomato', 0.62, 'carrot', 0.27444444417, 'onion', 0.3, 'garlic', 0.145, 'water', 0.0, 'cumin', 0.032888888856000005, 'sea salt', 0.005217391302, 'black pepper', 0.030611111124, 'coriander', 0.0023819444451249998]",,,19,15,17,17,1
2613,recipe,['main'],Savory Chickpea Patties,1686.8298,7056.845,40.6337,225.1172,0,46.6583,0,0,0,67.5885,36.5519,0.4515,0,0.6895,2.6169,0.0019,0.3495,123.2322,67.8589,0,2.9527,6.153,7.7498,4.06,0.9146,12.0546,2.7688,1.8735,0,2.9111,5.0231,4.4846,0.9402,3.5984,3.0541,3.4209,2.5383,0.6667,1.784,2.9344,324.1933,942.3324,2501.4608,304.1218,133.0312,16.1587,2.1257,9.5153,64.401,10.2715,0.385,9.9426,648.9446,111.8362,95.7667,1.6222,0.8696,6.0665,5.3763,1.9293,0,0.1741,1690.0224,1689.9099,1689.9849,0.075,19.5802,1.5375,0.0375,0,6.8426,7056.845,0.0297,0,1.0214,0.0933,0,0,0.0397,44.9732,4.6,324.769,19.215,186.6187,429.0697,0,62.4829,62.4829,28.3622,12.3317,0.1311,0.2254,0,0.0887,0.0392,2.655,0.0621,0,0.3358,0.0997,0,0.0046,0.0061,0.0146,0,0,0.0046,0.0008,13.841,0.299,0.3512,1.322,0.1027,8.8634,0.6208,8.8634,27.4879,11.6744,0.5973,0,0.1325,0.1107,0.0192,0.0046,0.0432,0,0.0084,0.0008,0.0382,0.1631,0.1152,0.6103,0.5106,0.0997,0,0,0.1211,0.0521,0,0.0008,0.0008,0,0,0.0008,0,0,0,African ,Middle Eastern ,Egyptian,15 minutes,15 minutes,"['onion', 'olive oil', 'garbanzo bean', 'cream', 'cornmeal', 'garlic', 'cumin', 'coriander', 'salt', 'sauce', 'cornmeal', 'olive oil']",2.198226109,"['onion', 0.15, 'olive oil', 0.052274999999999995, 'garbanzo bean', 0.97, 'cream', 0.357975, 'cornmeal', 0.0863928, 'garlic', 0.145, 'cumin', 0.016444444428000003, 'coriander', 0.009527777780499999, 'salt', 0.00282608695525, 'sauce', 0.00825, 'cornmeal', 0.1521, 'olive oil', 0.247435]",,,18,14,18,18,1
2622,recipe,['breakfast'],Mediterranean Feta and Egg Scramble,483.4693,2023.8591,0.291,3.5687,0,769.5395,0,0,0,13.978,2.1544,0.0026,0.0017,0.7428,0.2567,0,0.0002,172.4538,29.3962,0,1.6622,1.7803,2.907,0.7329,0.5699,4.0791,0.8996,0.7363,0,1.5803,2.5912,2.183,0.8688,1.5632,1.4436,2.2852,1.3008,0.3929,1.1996,2.0323,261.4949,496.8682,315.431,31.8186,544.322,3.796,0.1696,3.4225,0.2108,65.8633,2.5933,3.6682,1213.213,357.805,357.4437,0.1268,1.1621,0.4463,3.3731,0.4643,0,2.2782,103.4497,103.4497,103.4497,0,0,168.6017,4.1176,0,2.6844,2023.8591,0.02,0.12,1.0754,0.1298,0,0,0.02,6.3631,0.0508,592.8152,0.138,4.7646,1011.221,0.23,38.8087,38.8087,10.2164,4.2272,0.016,0.396,0.006,0.044,0.024,6.7834,0.024,0,3.062,0.024,0,0.024,0.036,0.0477,0,0,0,0,21.6504,1.0754,6.723,3.0883,0.0142,7.0605,0.5112,7.0605,9.5391,3.4334,0.176,0,0.006,0.054,0.376,0,0.008,0,0.014,0.116,0.2298,0.1923,0.6154,0.076,0.052,0.024,0,0,0,0.0737,0,0.002,0.002,0,0,0.026,0,0,0,African ,Middle Eastern ,Egyptian,5 minutes,5 minutes,"['egg', 'black pepper', 'feta cheese', 'milk', 'vegetable oil']",1.832548611,"['egg', 1.08, 'black pepper', 0.030611111124, 'feta cheese', 0.6656250000000001, 'milk', 0.0065, 'vegetable oil', 0.049812499499999996]",,,7,5,7,6,1
2625,recipe,['dessert'],Lime-Vanilla Fried Pastry,10481.3524,43854.3733,0.0202,402.8471,0,744,2707.56,824.04,244.16,517.75,401.0878,0.0308,0,0.7702,0,0,399.2242,872.2318,25.1462,0,1.4712,1.6408,2.6637,0.6101,0.5441,3.3494,0.8646,0.6181,0,1.3421,2.1728,1.8248,0.7601,1.3606,1.0255,1.9438,1.1121,0.3341,0.9981,1.7166,188.7298,397.2098,302.3307,39.6313,303.0768,3.7146,0.2292,2.6332,0.0922,63.805,2.2,2.6951,1082.5208,320.1008,320,0.0822,0.9988,0.1929,3.0751,0.3441,0,1.78,94.5042,94.5042,94.5042,0,1.5125,164,4,0,85.2236,43854.3733,0.02,0.12,1,0.1225,0,0,0.02,143.5292,0,589.8191,0,1.5125,1006,0,1000.0285,1000.0285,189.6786,250.9352,0.016,0.893,0.006,0.3361,0.024,125.9479,0.024,1.247,235.1448,0.024,0,0.024,0.036,0.046,0,0,0,0,506.8815,20.177,256.15,89.5506,0.014,94.7322,0.8991,94.7322,188.125,245.1565,5.1585,0,1.8852,0.6164,0.376,0,0.008,0,0.014,0.116,0.008,1.09,17.993,0.076,0.052,0.024,0,0,0,5.134,0,0.002,0.002,0,0,0.026,2.8896,0,0,African ,Middle Eastern ,Egyptian,26 minutes,30 minutes,"['water', 'white sugar', 'lime', 'vanilla extract', 'vegetable oil', 'salt', 'purpose flour', 'egg', 'corn oil']",7.721544587,"['water', 0.0, 'white sugar', 0.6093999999999999, 'lime', 0.77, 'vanilla extract', 1.298, 'vegetable oil', 1.75396125, 'salt', 0.00282608695525, 'purpose flour', 0.10735725, 'egg', 1.08, 'corn oil', 2.1]",,,12,6,7,9,1
2630,recipe,['side'],Simple Mediterranean Flatbread,230.97,967.845,0,8.7474,0,18.3,0,0,0,29.835,9.2415,0,0,0,9.2415,0,0,161.2779,5.7645,0,0.1958,0.1647,0.4941,1.1115,0.0348,1.2956,0.1135,0.1738,0,0.2983,0.5472,0.4831,0.1519,0.2983,0.5691,0.3477,0.2452,0.0732,0.291,0.377,206.925,153.72,241.695,18.3,78.96,0.1305,0.0458,0.6771,0.0073,6.771,0,1.2261,296.46,84.18,82.35,0.0842,0.3093,0.1629,0.6826,0.0659,0,0.8235,9.15,9.15,9.15,0,0,3.66,0.183,0,2.0653,967.845,0.0148,0,0.112,0,0,0,0,8.676,1.83,26.2095,0,12.81,0,0,19.4841,19.4841,11.3357,1.7774,0,0,0,0.003,0.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2771,0.1372,0.1409,0.5435,0,3.0412,0.1694,3.0412,11.1073,1.5375,0.2399,0,0.0559,0.042,0,0,0.0174,0,0,0,0.1372,0.1372,0.1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,African ,Middle Eastern ,Egyptian,8 minutes,15 minutes,"['purpose flour', 'salt', 'milk', 'olive oil']",0.587834174,"['purpose flour', 0.2147145, 'salt', 0.0056521739105, 'milk', 0.24375, 'olive oil', 0.1237175]",,,6,3,4,5,1
2649,recipe,"['snack', 'side']",Crispy Milk and Nutmeg Pastry,2233.18,9345.454,5.1002,19.7859,0,12.2,0,0,0,209.828,6.2926,0,0,0,6.161,0,0,109.1427,12.1145,0,0.5495,1.2982,1.0732,0.732,0.1852,2.6512,0.6246,0.3517,0,0.5436,0.9786,0.5791,0.3659,0.6237,0.7452,0.6688,0.4961,0.2243,0.5297,0.6991,334.956,450.252,362.74,63.452,86.464,1.2999,0.8038,2.634,0.7881,4.5844,0,3.1704,232.278,57.69,54.9,0.6487,0.4382,2.832,0.7674,0.1179,0,0.549,53.544,53.544,53.544,0,0.132,2.44,0.122,0,8.3912,9345.454,0,0,0.0233,0,0,0,0,54.212,1.22,18.2692,0,9.772,0,0,245.187,245.187,34.1415,13.2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.1116,8.1575,102.5702,37.1728,0,20.7002,0.1264,20.7002,33.9663,12.9441,0.2549,0,0,0.0302,0,0,0,0,0,0,0.0915,0.5275,7.2855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,African ,Rest Africa ,Nigerian,3 minutes,15 minutes,"['purpose flour', 'butter', 'butter', 'nutmeg', 'milk', 'milk', 'vegetable oil']",5.716439611,"['purpose flour', 0.858858, 'butter', 3.247, 'butter', 0.6916109999999999, 'nutmeg', 0.008736111113, 'milk', 0.1625, 'milk', 0.04615, 'vegetable oil', 0.7015844999999999]",,,9,3,7,7,1
2650,recipe,['dessert'],Peanut Lime Butter Cake,1154.7421,4829.8045,3.7869,214.2833,0,372,0,0,0,0,200.1988,0.0308,0,0.4002,0,0,199.6242,82.6075,20.0447,0,1.1165,1.905,2.0503,0.3283,0.4172,3.3298,0.9374,0.5254,0,0.9859,1.6492,1.1551,0.6102,1.0765,0.853,1.3756,0.8601,0.3209,0.8108,1.2646,827.1701,718.911,326.6625,56.3078,1269.4983,4.0756,0.73,3.1545,0.6432,32.1447,1.1,10.0071,567.6458,161.2258,160,0.5419,0.6911,2.6711,1.8532,0.2384,0,0.89,91.5542,91.5542,91.5542,0,1.5125,82,2,0,1.3145,4829.8045,0.01,0.06,0.5,0.0625,0,0,0.01,0.3302,0,295.654,0,1.5125,503,0,29.0112,29.0112,11.199,10.275,0.008,0.198,0.003,0.022,0.012,3.388,0.012,0,1.531,0.012,0,0.012,0.018,0.023,0,0,0,0,5.8382,0.006,0,0.0788,0.007,3.9977,0.2554,3.9977,10.8454,9.7741,0.1846,0,0.003,0.0722,0.188,0,0.004,0,0.007,0.058,0.004,0,0.004,0.038,0.026,0.012,0,0,0,0.036,0,0.001,0.001,0,0,0.013,0,0,0,African ,Rest Africa ,Nigerian,25 minutes,10 minutes,"['white sugar', 'butter', 'egg', 'lime', 'purpose flour', 'baking powder', 'peanut']",2.505360375,"['white sugar', 0.30469999999999997, 'butter', 0.5763424999999999, 'egg', 0.54, 'lime', 0.77, 'purpose flour', 0.161035875, 'baking powder', 0.133407, 'peanut', 0.019875]",,,10,4,5,8,1
2685,recipe,['component'],Quick Lemon Preserve,3.68,15.3141,0.2625,1.1741,0,0,0,0,0,0,0.3489,0.0559,0,0.0503,0,0,0.0219,71.7905,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5267,1.82,17.4258,2.1967,1.4125,0.0571,0.0082,0.0078,0.0032,0.0404,0,0.0787,2.2483,0.0883,0,0.0047,0.0026,0.0134,0.0235,0.0094,0,0,1.9884,1.9884,1.9884,0,6.6489,0,0,0,0.0208,15.3141,0,0,0,0,0,0,0,0,0,0.7097,0.0883,0.3158,1.7342,0,0.0387,0.0387,0.0013,0.009,0.0001,0,0,0,0,0.0002,0,0,0.0006,0,0,0,0,0,0,0,0,0,0.0054,0.001,0.0001,0.0002,0.0001,0.0037,0.0001,0.0037,0.0011,0.0062,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,African ,Northern Africa ,Moroccan,10 minutes,10 minutes,"['lemon', 'water', 'water', 'lemon', 'salt']",2.330065217,"['lemon', 1.54, 'water', 0.0, 'water', 0.0, 'lemon', 0.77, 'salt', 0.020065217382275]",,,9,5,7,7,1
2686,recipe,['side'],Spicy Tomato Pepper Relish,375.418,1556.8393,26.9646,81.8234,0,0,0,0,0,84.3269,30.078,15.6655,0.0078,14.1613,0,0,0.041,1719.4879,16.0387,0,0.5509,0.5556,2.3658,1.4849,0.2121,5.6311,0.4389,0.2734,0,0.4018,0.6155,0.5701,0.1432,0.4953,0.4775,0.5325,0.5133,0.1453,0.2877,0.4655,394.6202,371.0112,3570.7842,162.0894,2818.7707,13.1399,0.7363,2.7661,1.7598,3.6482,26.4763,15.146,11386.9984,571.1229,0,0.5144,0.4677,11.3895,1.7458,1.9206,0,0,547.1647,547.1647,547.1647,0,402.1781,0,0,0,6.9409,1556.8393,0.1293,0.0064,1.5754,0.2231,0,0,0.0021,95.044,0,79.0486,1145.8407,5655.9805,1870.6258,28739.3655,4.5599,4.5599,0.5234,2.2219,0.0001,0.0002,0,0.0001,0,0.0534,0,0,0.0041,0,0,0,0,0.0035,0,0,0,0,0.6037,0.0021,0.004,0.026,0.0005,0.4337,0.0148,0.4337,0.4868,2.1103,0.0942,0,0.0013,0.0005,0,0,0.0013,0,0,0,0.0002,0.0003,0.0023,0,0,0,0,0,0,0.0172,0,0,0,0,0,0,0,0,0,African ,Northern Africa ,Moroccan,140 minutes,20 minutes,"['extra virgin olive oil', 'garlic', 'tomato', 'green bell pepper', 'jalapeno pepper', 'paprika', 'black pepper', 'sea salt', 'lemon']",15.91006362,"['extra virgin olive oil', 0.5625, 'garlic', 0.10874999999999999, 'tomato', 5.949999999999999, 'green bell pepper', 7.800000000000001, 'jalapeno pepper', 0.62, 'paprika', 0.036944444436, 'black pepper', 0.061222222248, 'sea salt', 0.000646956521448, 'lemon', 0.77]",,,14,12,14,14,1
2750,recipe,['dessert'],Cinnamon Vanilla Custard Tart,1619.532,6781.644,1.5934,272.235,0,283.6,0,0,0,0,249.6043,0,0,0.185,49.288,0,199.6,903.0462,39.75,0,1.5552,1.687,3.5517,6.006,0.3766,8.353,1.0059,1.1619,0,2.0433,3.673,3.1195,1.0895,2.0751,3.4182,2.4879,1.6984,0.5326,1.9152,2.5916,1737.334,1236.064,1432.076,121.588,1481.158,2.7571,0.5506,4.9897,0.3009,53.2404,0.55,14.0597,1861.17,529.41,519.2,0.6619,1.9964,1.8127,4.5126,0.4598,0,4.837,87,87,87,0,0,60.52,1.976,0,1.2082,6781.644,0.005,0.03,0.25,0.03,0,0,0.005,3.078,9.76,286.548,0,68.32,251.5,0,43.8827,43.8827,12.4767,6.0198,0.004,0.099,0.0015,0.011,0.006,1.694,0.006,0,0.7655,0.006,0,0.006,0.009,0.0115,0,0,0,0,20.7759,0.735,0.7515,2.9332,0.0035,9.8523,0.1221,9.8523,12.3187,5.0519,0.8104,0,0.0015,0.0236,0.094,0,0.002,0,0.0035,0.029,0.734,0.732,0.734,0.019,0.013,0.006,0,0,0,0.018,0,0.0005,0.0005,0,0,0.0065,1.4448,0,0,African ,Rest Africa ,Nigerian,20 minutes,30 minutes,"['butter', 'white sugar', 'egg', 'purpose flour', 'baking powder', 'salt', 'milk', 'vanilla extract', 'butter', 'purpose flour', 'cornstarch', 'white sugar', 'egg', 'cinnamon']",5.667415333,"['butter', 1.6235, 'white sugar', 0.30469999999999997, 'egg', 0.27, 'purpose flour', 0.2147145, 'baking powder', 0.118584, 'salt', 0.000350434782451, 'milk', 1.3, 'vanilla extract', 0.649, 'butter', 0.230537, 'purpose flour', 0.019055911875, 'cornstarch', 0.2225034864975, 'white sugar', 0.15234999999999999, 'egg', 0.54, 'cinnamon', 0.022120000000000004]",,,17,4,9,12,1
2753,recipe,['breakfast'],Our Beetroot Pancakes,593.977,2487.067,3.988,75.898,0,210.4,0,0,0,46.92,72.3038,0,0,0.185,12.322,0,49.9,383.4762,16.2261,0,0.714,0.6916,1.4897,176.646,0.209,3.1531,0.4165,0.4163,0,0.8004,1.3668,1.1826,0.4185,0.8026,1.0753,1.0317,0.67,0.2076,0.6904,1.0108,329.28,359.61,847.755,62.48,282.6,2.0702,0.2062,2.0345,0.4779,25.6925,0.55,3.6726,727.035,195.785,189.8,0.1809,0.7078,0.7301,1.9062,0.2684,0,1.543,186.19,186.19,186.19,0,10.654,45.88,1.244,0,1.2819,2487.067,0.005,0.03,0.25,0.03,0,0,0.005,4.5132,2.44,190.6092,0.825,49.605,261.175,0,26.574,26.574,5.4059,1.7324,0.004,0.099,0.0015,0.011,0.006,1.694,0.006,0,0.7655,0.006,0,0.006,0.009,0.0115,0,0,0,0,17.2354,0.6892,6.5799,2.9716,0.0035,4.2763,0.1007,4.2763,5.2822,1.3641,0.2143,0,0.0015,0.0135,0.094,0,0.002,0,0.0035,0.029,0.185,0.2102,0.6338,0.019,0.013,0.006,0,0,0,0.018,0,0.0005,0.0005,0,0,0.0065,0,0,0,African ,Rest Africa ,Nigerian,15 minutes,15 minutes,"['beet', 'purpose flour', 'milk', 'egg', 'vegetable oil', 'white vinegar', 'cinnamon', 'white sugar', 'orange']",4.22928725,"['beet', 0.97, 'purpose flour', 0.10735725, 'milk', 0.325, 'egg', 0.27, 'vegetable oil', 0.049812499499999996, 'white vinegar', 0.0024625, 'cinnamon', 0.08848000000000002, 'white sugar', 0.07617499999999999, 'orange', 2.34]",,,13,9,9,10,1
2807,recipe,"['main','side']",Spiced Cabbage and Potato Medley,1237.804,5184.596,17.6274,65.6971,7.3216,0,0,0,0,264.452,31.1079,4.886,0.0017,6.1784,0,0,19.9828,594.9451,6.9007,0,0.6218,0.6399,1.1486,2.4912,0.4341,2.3115,0.2892,0.2301,0,0.4243,0.58,0.5851,0.1078,0.3614,0.3155,0.3169,1.0168,0.0858,0.2506,0.3981,222.97,234.899,1922.7375,84.8095,364.0365,3.6978,0.327,1.5987,1.2688,1.4695,18.5373,5.7111,85557.5455,4276.1825,0,0.4197,0.3468,5.2899,1.6148,0.9073,0,0,128.1305,128.1305,128.1305,0,42.134,0,0,0,18.9894,5184.596,0.1701,0,0.9772,0.1259,0,0,0.0004,135.2797,0,55.8982,17802.378,42432.366,1327.045,5.35,109.6845,109.6845,79.0497,12.0426,0,0,0,0.0263,0.1362,0.008,0,0,0,0,0,0.0006,0,0.0017,0,0,0,0,15.2151,0.007,0.0013,0.0099,0.0014,12.446,1.3687,12.446,77.2041,11.1982,0.8426,0,0.4478,0.3381,0,0,0.1393,0,0,0,0,0.0001,0.0012,0.0004,0.0004,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,African ,Rest Africa ,Nigerian,40 minutes,25 minutes,"['olive oil', 'carrot', 'onion', 'sea salt', 'black pepper', 'cumin', 'turmeric', 'head cabbage', 'potato']",11.43646256,"['olive oil', 0.87125, 'carrot', 1.09777777668, 'onion', 0.3, 'sea salt', 0.010434782604, 'black pepper', 0.030611111124, 'cumin', 0.008222222214000001, 'turmeric', 0.0031666666635000004, 'head cabbage', 3.315, 'potato', 5.8]",,,15,13,14,14,1
2950,recipe,"['lunch', 'side']",Pea and Chicken Broth Egg Drop Soup,442.705,1855.675,4.1325,18.3962,0,196.08,0,0,0,0,7.8237,0.2828,0,0.272,0,0.1233,3.6178,1022.2053,54.7631,0,0.5415,0.7203,1.0241,0.295,0.1592,1.3737,0.3494,0.2321,0,0.4769,0.7772,0.6858,0.2494,0.485,0.3814,0.6167,0.4252,0.1103,0.3321,0.5994,106.605,782.1,1959.5,50.085,6334.305,6.0736,1.1716,3.56,2.3272,39.839,0.55,19.6072,824.625,107.55,80,0.2733,0.7879,24.0311,1.2451,0.4091,0,2.461,110.945,110.945,110.945,0,29,41,1,0,0.72,1855.675,0.005,0.0445,0.9388,0.03,0,0,0.005,18.13,0,262.242,15.225,325.525,2047.325,0,15.5282,15.5282,6.592,3.3087,0.004,0.099,0.0015,0.011,0.006,1.694,0.006,0,0.7655,0.006,0,0.006,0.009,0.0115,0,0,0,0,4.7393,0.003,0,0.1173,0.0035,3.4803,0.7053,3.4803,5.6621,2.9037,0.1502,0,0.0015,0.1143,0.094,0,0.002,0,0.0035,0.029,0.002,0,0.002,0.019,0.013,0.006,0,0,0,0.018,0,0.0005,0.0005,0,0,0.0065,0,0,0,Asian ,Chinese and Mongolian ,Chinese,13 minutes,2 minutes,"['chicken broth', 'green pea', 'egg']",2.70725,"['chicken broth', 2.2, 'green pea', 0.23725, 'egg', 0.27]",,,5,4,5,5,1
2983,recipe,"['main','side']",Creamy Walnut Rice Pudding,4610.745,19288.695,23.6425,130.4618,0,0,0,0,0,393.88,34.179,0.0185,0,0.0185,0,0,0.074,700.4725,29.9532,0,1.5754,4.3846,2.9046,0,0.594,6.6296,1.4022,0.696,0,1.2029,2.2788,1.2689,0.594,1.5356,1.2789,1.5505,1.0825,0.3522,0.9444,1.8202,189.1,1126.375,2788.975,400.525,157.625,20.7147,2.9167,7.8422,10.3496,77.2075,0,7.936,0,0,0,0.798,0.0453,11.6296,2.8046,0.4883,0,0,521.175,170.6,376.875,206.275,28.56,0,0,0,2.5038,19288.695,0,0,0,0,0,0,0,33.8125,0,92.937,0,0,0,0,461.7785,461.7785,60.2374,140.8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.6325,13.5354,107.8752,42.5989,0,36.0231,0.2198,36.0231,58.9266,118.1192,22.7007,0,0,0.872,0,0,0,0,0,0,0,1.3872,17.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asian ,Chinese and Mongolian ,Chinese,10 minutes,5 minutes,"['white rice', 'walnut', 'milk', 'milk']",4.3762875,"['white rice', 0.3914625, 'walnut', 2.5223250000000004, 'milk', 1.3812499999999999, 'milk', 0.08125]",,,7,5,5,3,1
2986,recipe,['dessert'],Sweet Vanilla Custard Tarts,2507.5,10489.6333,27.6,209.8187,0,186,0,0,0,2.4,141.2677,0,0,0.185,0,0,133.0667,563.0186,54.52,0,2.8827,7.6508,5.1693,0.15,1.108,11.6269,3.4032,1.5393,0,2.3899,4.2246,2.0688,1.7044,2.884,2.4352,3.0991,2.2508,1.0843,2.2103,3.1506,1111.2833,2143.8,1696.4667,332.31,293.0433,10.9017,4.5918,13.4023,5.7145,31.03,0.55,14.5201,430.8,87.2,80,3.1616,1.4778,16.0815,2.8713,0.5218,0,0.445,297.1,297.1,297.1,0,6.72,41,1,0,0.885,10489.6333,0.005,0.03,0.25,0.03,0,0,0.005,0.39,0,167.3,0,0,251.5,0,177.171,177.171,47.7674,52.0755,0.004,0.099,0.0015,0.011,0.006,1.694,0.006,0,0.7655,0.006,0,0.006,0.009,0.0115,0,0,0,0,68.4318,3.1878,25.3824,10.3269,0.0035,16.2667,0.4461,16.2667,47.0919,50.9735,0.8952,0,0.0015,0.1743,0.094,0,0.002,0,0.0035,0.029,0.002,0.3264,4.01,0.019,0.013,0.006,0,0,0,0.018,0,0.0005,0.0005,0,0,0.0065,0,0,0,Asian ,Chinese and Mongolian ,Chinese,20 minutes,25 minutes,"['confectioner sugar', 'purpose flour', 'butter', 'egg', 'vanilla extract', 'white sugar', 'water', 'egg', 'vanilla extract', 'milk']",7.43752645,"['confectioner sugar', 0.40169250000000006, 'purpose flour', 0.32207175, 'butter', 3.247, 'egg', 0.27, 'vanilla extract', 0.11941600000000001, 'white sugar', 0.2029302, 'water', 0.0, 'egg', 2.43, 'vanilla extract', 0.11941600000000001, 'milk', 0.325]",,,14,4,7,8,1
